student_id,fees_due,mentor_email
1001,3000,mentor1@example.com
1002,0,mentor2@mentors.org
1003,0,mentor3@example.com
1004,0,mentor4@mentors.org
1005,0,mentor5@mentors.org
1006,3000,mentor6@mentors.org
1007,0,mentor7@example.com
1008,2000,mentor8@example.com
1009,0,mentor9@college.edu
1010,2000,mentor10@example.com
1011,0,mentor11@example.com
1012,0,mentor12@mentors.org
1013,1000,mentor13@example.com
1014,5000,mentor14@example.com
1015,3000,mentor15@mentors.org
1016,1000,mentor16@example.com
1017,3000,mentor17@mentors.org
1018,0,mentor18@example.com
1019,5000,mentor19@example.com
1020,0,mentor20@college.edu
1021,2000,mentor21@example.com
1022,2000,mentor22@mentors.org
1023,2000,mentor23@example.com
1024,1000,mentor24@college.edu
1025,0,mentor25@example.com
1026,2000,mentor26@example.com
1027,0,mentor27@mentors.org
1028,5000,mentor28@college.edu
1029,2000,mentor29@example.com
1030,0,mentor30@example.com
1031,2000,mentor31@mentors.org
1032,1000,mentor32@example.com
1033,2000,mentor33@example.com
1034,2000,mentor34@example.com
1035,0,mentor35@college.edu
1036,1000,mentor36@example.com
1037,3000,mentor37@mentors.org
1038,0,mentor38@college.edu
1039,1000,mentor39@example.com
1040,0,mentor40@example.com
1041,0,mentor41@college.edu
1042,1000,mentor42@example.com
1043,1000,mentor43@example.com
1044,0,mentor44@mentors.org
1045,1000,mentor45@college.edu
1046,0,mentor46@mentors.org
1047,0,mentor47@example.com
1048,0,mentor48@mentors.org
1049,0,mentor49@example.com
1050,0,mentor50@college.edu
1051,1000,mentor51@college.edu
1052,2000,mentor52@college.edu
1053,0,mentor53@mentors.org
1054,3000,mentor54@mentors.org
1055,2000,mentor55@example.com
1056,0,mentor56@college.edu
1057,3000,mentor57@mentors.org
1058,5000,mentor58@example.com
1059,0,mentor59@mentors.org
1060,0,mentor60@example.com
1061,3000,mentor61@mentors.org
1062,2000,mentor62@mentors.org
1063,0,mentor63@mentors.org
1064,2000,mentor64@college.edu
1065,2000,mentor65@college.edu
1066,2000,mentor66@mentors.org
1067,2000,mentor67@example.com
1068,2000,mentor68@example.com
1069,0,mentor69@college.edu
1070,0,mentor70@college.edu
1071,1000,mentor71@college.edu
1072,3000,mentor72@mentors.org
